Latitude,Longitude,
39.71775,-104.99628,Baker
39.73133,-105.03728,Villa Park
39.7469,-104.94978,City Park
39.74427,-104.96637,City Park West
39.85637,-104.67388,Denver International Airport
39.78444,-104.95651,Elyria Swansea
39.78232,-104.98495,Globeville
39.76731,-104.96663,Cole
39.75278,-105.02057,Jefferson Park
39.73421,-105.00546,Lincoln Park
39.73019,-105.02138,Sun Valley
39.67398,-104.96575,University
39.74055,-105.03816,West Colfax
