Latitude,Longitude,
39.71695,-105.04697,Barnum West
39.66163,-105.06701,Bear Valley
39.77659,-105.0387,Berkeley
39.73969,-104.8932,East Colfax
39.64061,-105.04206,Fort Logan
39.7342,-104.96666,Cheesman Park
39.77537,-105.01131,Sunnyside
39.68492,-104.89728,Indian Creek
39.7319,-104.91242,Montclair
39.68137,-104.99285,Overland
39.75721,-104.94992,Skyland
39.75294,-105.03974,Sloan Lake
39.64968,-104.9123,Southmoor Park
