Latitude,Longitude,
39.73474,-104.98112,Capitol Hill
39.71835, -104.94835,Cherry Creek
39.75716,-104.98222,Five Points
39.78246,-104.75302,Green Valley Ranch Denver
39.73182,-104.93271,Hale
39.66128,-104.89306,Hampden
39.6446,-104.89361,Hampden South 
39.78045,-104.83956,Montbello
39.71959,-104.97981,Speer
39.778,-104.88274,Stapleton Denver
39.68768,-104.92346,Virginia Village
39.6987, -104.91288,Washington Virginia Vale
39.7025,-104.87703,Windsor
