Latitude,Longitude,
39.70483,-104.94973,Belcaro 
39.7636,-105.01724,Highland
39.73581,-104.95232,Congress Park
39.6905,-104.94961,Cory - Merrill
39.7164,-104.96998,Country Club
39.71914,-104.92566,Hilltop
39.71831,-104.89257,Lowry Field 
39.68679,-104.98117,Platt Park
39.67305,-104.98137,Rosedale
39.69897,-104.96883,Washington Park
39.69884,-104.98118,Washington Park West
39.65979,-104.95095,Wellshire Denver
39.76309,-105.03875,West Highland
